epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8045393228530884,0.8867108225822449,9.999999747378752e-05,6.270002365112305,0.7938005328178406,0.8129744529724121,0.9244604110717773,0.9861542582511902,5.851437568664551,0.9034482836723328,0.9492753744125366
1,0.8915989398956299,0.9594253301620483,9.999999747378752e-05,5.75192403793335,0.8775919675827026,0.9054520130157471,0.9532374143600464,0.991200864315033,5.446962356567383,0.9370629191398621,0.9710144996643066
2,0.9166666865348816,0.9727249145507812,9.999999747378752e-05,5.343608856201172,0.9077966213226318,0.9240855574607849,0.9532374143600464,0.9932194352149963,5.072604179382324,0.9432623982429504,0.9637681245803833
3,0.9217479825019836,0.978987991809845,9.999999747378752e-05,4.961159706115723,0.9142857193946838,0.9275362491607666,0.9496402740478516,0.9946169853210449,4.7109222412109375,0.9428571462631226,0.95652174949646
4,0.9427506923675537,0.9853343367576599,9.999999747378752e-05,4.586279392242432,0.9359673261642456,0.9482401609420776,0.9460431933403015,0.9954710006713867,4.365056037902832,0.936170220375061,0.95652174949646
5,0.9454606771469116,0.9855071306228638,9.999999747378752e-05,4.250490665435791,0.9392905831336975,0.9503105878829956,0.9460431933403015,0.9957557320594788,4.0376057624816895,0.936170220375061,0.95652174949646
6,0.9410569071769714,0.9872034788131714,9.999999747378752e-05,3.929372549057007,0.942401111125946,0.9371980428695679,0.9460431933403015,0.9958850741386414,3.7291719913482666,0.936170220375061,0.95652174949646
7,0.9447832107543945,0.9878303408622742,9.999999747378752e-05,3.6344072818756104,0.9434483051300049,0.9440993666648865,0.9568345546722412,0.9962473511695862,3.4375698566436768,0.9436619877815247,0.9710144996643066
8,0.949525773525238,0.9882811903953552,9.999999747378752e-05,3.3579530715942383,0.9409769177436829,0.9572118520736694,0.9604316353797913,0.9967391490936279,3.168393611907959,0.9503546357154846,0.9710144996643066
9,0.9498645067214966,0.989407479763031,9.999999747378752e-05,3.097818374633789,0.9514226317405701,0.9461697936058044,0.9676259160041809,0.9977743029594421,2.922337532043457,0.9510489702224731,0.9855072498321533
10,0.9512194991111755,0.990251362323761,9.999999747378752e-05,2.857215166091919,0.9460013508796692,0.9551414847373962,0.971222996711731,0.9981883764266968,2.6840980052948,0.9577465057373047,0.9855072498321533
11,0.9502032399177551,0.9887957572937012,9.999999747378752e-05,2.6482748985290527,0.9477304220199585,0.9510006904602051,0.9784172773361206,0.9987837076187134,2.471762180328369,0.9714285731315613,0.9855072498321533
12,0.9563007950782776,0.9917315244674683,9.999999747378752e-05,2.432833433151245,0.9514364004135132,0.9599723815917969,0.9784172773361206,0.9986541867256165,2.278348684310913,0.9714285731315613,0.9855072498321533
13,0.9600270986557007,0.9921472668647766,9.999999747378752e-05,2.2481703758239746,0.9631175994873047,0.9551414847373962,0.9820144176483154,0.999016523361206,2.1098215579986572,0.9650349617004395,1.0
14,0.9647696614265442,0.9942735433578491,9.999999747378752e-05,2.0637927055358887,0.962199330329895,0.966183602809906,0.9820144176483154,0.999016523361206,1.9387376308441162,0.9784172773361206,0.9855072498321533
15,0.9603658318519592,0.992377519607544,9.999999747378752e-05,1.925748348236084,0.9567901492118835,0.9627329111099243,0.9784172773361206,0.9984989166259766,1.797784686088562,0.97826087474823,0.97826087474823
16,0.957317054271698,0.9925268292427063,9.999999747378752e-05,1.788428783416748,0.9584199786186218,0.954451322555542,0.9820144176483154,0.999016523361206,1.6572083234786987,0.985401451587677,0.97826087474823
17,0.9695122241973877,0.9953407049179077,9.999999747378752e-05,1.6361639499664307,0.9702422022819519,0.967563807964325,0.9784172773361206,0.9987836480140686,1.541750192642212,0.97826087474823,0.97826087474823
18,0.9756097793579102,0.9962040185928345,9.999999747378752e-05,1.5033279657363892,0.9738472104072571,0.9765355587005615,0.9820144176483154,0.9991201162338257,1.4153757095336914,0.985401451587677,0.97826087474823
19,0.9640921354293823,0.9929483532905579,9.999999747378752e-05,1.423088788986206,0.9634230732917786,0.9634230732917786,0.9820144176483154,0.999456524848938,1.3101451396942139,0.985401451587677,0.97826087474823
20,0.9674796462059021,0.9956379532814026,9.999999747378752e-05,1.30828857421875,0.9649484753608704,0.9689440727233887,0.9892086386680603,0.9993530511856079,1.2107332944869995,0.9856114983558655,0.9927536249160767
21,0.9647696614265442,0.9946666359901428,9.999999747378752e-05,1.2266845703125,0.962199330329895,0.966183602809906,0.9892086386680603,0.9994823336601257,1.1249260902404785,0.9856114983558655,0.9927536249160767
22,0.9725610017776489,0.9959574341773987,9.999999747378752e-05,1.128442645072937,0.9684931635856628,0.9758453965187073,0.9856114983558655,0.9993529319763184,1.0483344793319702,0.9855072498321533,0.9855072498321533
23,0.9620596170425415,0.9941314458847046,9.999999747378752e-05,1.073481559753418,0.9544527530670166,0.9689440727233887,0.9892086386680603,0.9992493987083435,0.9797773957252502,0.9856114983558655,0.9927536249160767
24,0.966802179813385,0.9959466457366943,9.999999747378752e-05,0.990314781665802,0.966183602809906,0.966183602809906,0.9892086386680603,0.9990683197975159,0.9184595942497253,0.9856114983558655,0.9927536249160767
25,0.9678184390068054,0.9958140254020691,9.999999747378752e-05,0.9274538159370422,0.9668965339660645,0.967563807964325,0.9856114983558655,0.999404788017273,0.8568418025970459,0.9785714149475098,0.9927536249160767
26,0.9739159941673279,0.994179368019104,9.999999747378752e-05,0.8769015073776245,0.9731034636497498,0.9737750291824341,0.9928057789802551,0.9995600581169128,0.7987465262413025,0.9927536249160767,0.9927536249160767
27,0.966802179813385,0.9946974515914917,9.999999747378752e-05,0.8318502902984619,0.969423234462738,0.9627329111099243,0.9964028596878052,0.9998964071273804,0.7402016520500183,0.9928057789802551,1.0
28,0.9674796462059021,0.9950059056282043,9.999999747378752e-05,0.7820702791213989,0.9630390405654907,0.9710144996643066,0.9928057789802551,0.999715268611908,0.6980516910552979,0.9927536249160767,0.9927536249160767
29,0.9762872457504272,0.9959231615066528,9.999999747378752e-05,0.7257101535797119,0.9758453965187073,0.9758453965187073,0.9856114983558655,0.9995858669281006,0.6603010296821594,0.9855072498321533,0.9855072498321533
30,0.9745935201644897,0.996813952922821,9.999999747378752e-05,0.6835718154907227,0.9757617712020874,0.9723947644233704,0.9856114983558655,0.9997411966323853,0.6170923709869385,0.9855072498321533,0.9855072498321533
31,0.977642297744751,0.9960286617279053,9.999999747378752e-05,0.6436082124710083,0.9739547371864319,0.9806763529777527,0.9856114983558655,0.9996893405914307,0.5839916467666626,0.9785714149475098,0.9927536249160767
32,0.9756097793579102,0.9965096712112427,9.999999747378752e-05,0.6057931780815125,0.9791231751441956,0.9710144996643066,0.9820144176483154,0.9995341300964355,0.553067147731781,0.985401451587677,0.97826087474823
33,0.9739159941673279,0.9941830039024353,9.999999747378752e-05,0.5902212858200073,0.9705075621604919,0.9765355587005615,0.9856114983558655,0.9997411370277405,0.516478955745697,0.9855072498321533,0.9855072498321533
